LocationZip,Latitude,Longitude,geopoint
21654,38.690831,-76.14666,38.690831
,,,
36541,30.487783,-88.32722,30.487783
,,,
79001,35.2195,-102.71795,35.2195
,,,
79532,32.409433,-100.71285,32.409433
,,,
80222,39.669237,-104.92766,39.669237
,,,
81052,38.08759,-102.61855,38.08759
,,,
82944,41.10401,-110.53733,41.10401
,,,
83523,46.223309,-116.48168,46.223309
,,,
68010,41.25973,-96.12833,41.25973
,,,
68333,40.620175,-96.96099,40.620175
,,,
68364,40.832663,-97.22019,40.832663
,,,
70780,30.287104,-91.15362,30.287104
,,,
71002,32.129489,-93.08273,32.129489
,,,
71046,32.168532,-93.95402,32.168532
,,,
71968,34.522254,-93.25662,34.522254
,,,
72374,34.554559,-90.84231,34.554559
,,,
72801,35.278429,-93.13682,35.278429
,,,
85385,33.276539,-112.18717,33.276539
,,,
85933,34.392829,-110.52048,34.392829
,,,
64653,39.884096,-93.19234,39.884096
,,,
64763,38.137769,-93.73225,38.137769
,,,
56084,44.302893,-94.738827,44.302893
,,,
56729,48.655487,-96.59592,48.655487
,,,
48739,44.379147,-83.83539,44.379147
,,,
49614,44.433903,-86.12625,44.433903
,,,
50273,41.332618,-94.03802,41.332618
,,,
39766,33.615277,-88.31031,33.615277
,,,
32560,30.581825,-87.292918,30.581825
,,,
34681,28.088443,-82.77834,28.088443
,,,
35559,33.909001,-87.73186,33.909001
,,,
43821,40.130754,-82.01637,40.130754
,,,
53581,43.361048,-90.40776,43.361048
,,,
54827,46.802909,-91.10944,46.802909
,,,
62264,38.318253,-89.88852,38.318253
,,,
62756,39.749457,-89.606017,39.749457
,,,
70743,30.019278,-90.77619,30.019278
,,,
79785,31.306912,-103.79377,31.306912
,,,
80303,39.989135,-105.22883,39.989135
,,,
75205,32.836094,-96.79524,32.836094
,,,
76018,32.65392,-97.08724,32.65392
,,,
76798,31.547466,-97.11997,31.547466
,,,
76958,31.663529,-100.71789,31.663529
,,,
58472,46.638134,-98.63923,46.638134
,,,
17943,40.763048,-76.38158,40.763048
,,,
15377,39.976027,-80.44474,39.976027
,,,
16331,41.306317,-79.57486,41.306317
,,,
28227,35.192919,-80.66822,35.192919
,,,
32439,30.482838,-86.1675,30.482838
,,,
32820,28.561242,-81.10735,28.561242
,,,
33578,28.331186,-82.252917,28.331186
,,,
34108,26.252711,-81.80825,26.252711
,,,
35895,34.733964,-86.522913,34.733964
,,,
36870,32.484671,-85.0752,32.484671
,,,
38874,34.248527,-89.2448,34.248527
,,,
